ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,MergeCueTimeRel,DriverResponseTimeRel,ReactionTime,ResponseType,SurveyQuestion,SurveyResponse,SurveyRT
99,Day,0,Practice,Expected,Red,Right,67.94,59.51,-0.1740,0.8681,1407.3360,-0.1740,45.24,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.05,59.62,-0.1428,0.8681,1409.5450,-0.1428,46.01,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.15,59.72,-0.1131,0.8681,1411.6360,-0.1131,46.67,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.26,59.82,-0.0821,0.8681,1413.8190,-0.0821,47.33,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.37,59.93,-0.0477,0.8681,1416.2290,-0.0477,48.01,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.48,60.05,-0.0121,0.8681,1418.7230,-0.0121,48.46,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.60,60.16,0.0230,0.8681,1421.1780,0.0230,48.61,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.71,60.27,0.0568,0.8681,1423.5510,0.0568,48.67,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.81,60.37,0.0884,0.8681,1425.7670,0.0884,48.84,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,68.91,60.48,0.1142,0.8681,1428.0990,0.1142,49.17,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,69.02,60.58,0.1191,0.8681,1430.3250,0.1191,49.45,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,69.12,60.69,0.1185,0.8681,1432.6220,0.1185,49.57,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,69.22,60.79,0.1181,0.8681,1434.9230,0.1181,49.57,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
