ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
P000,Day,0,Practice,Unexpected,Amber,Left,41.92,40.63,-6.5869,0.8682,908.2352,-6.5869,56.25
P000,Day,0,Practice,Unexpected,Amber,Left,42.02,40.73,-6.3639,0.8678,910.7565,-6.3639,56.51
P000,Day,0,Practice,Unexpected,Amber,Left,42.12,40.83,-6.0742,0.8678,913.2947,-6.0742,56.99
P000,Day,0,Practice,Unexpected,Amber,Left,42.23,40.94,-5.7042,0.8680,916.0677,-5.7042,57.69
P000,Day,0,Practice,Unexpected,Amber,Left,42.33,41.04,-5.3138,0.8681,918.6407,-5.3138,58.28
P000,Day,0,Practice,Unexpected,Amber,Left,42.44,41.14,-4.8627,0.8682,921.2833,-4.8627,58.87
P000,Day,0,Practice,Unexpected,Amber,Left,42.55,41.25,-4.3253,0.8682,924.1177,-4.3253,59.34
P000,Day,0,Practice,Unexpected,Amber,Left,42.65,41.35,-3.7797,0.8688,926.7604,-3.7797,59.63
P000,Day,0,Practice,Unexpected,Amber,Left,42.75,41.45,-3.2022,0.8691,929.3792,-3.2022,59.74
P000,Day,0,Practice,Unexpected,Amber,Left,42.85,41.55,-2.5960,0.8686,931.9896,-2.5960,59.75
P000,Day,0,Practice,Unexpected,Amber,Left,42.95,41.66,-1.9530,0.8686,934.6425,-1.9530,59.72
P000,Day,0,Practice,Unexpected,Amber,Left,43.06,41.76,-1.2445,0.8682,937.4632,-1.2445,59.70
P000,Day,0,Practice,Unexpected,Amber,Left,43.16,41.87,-0.5662,0.8684,940.0883,-0.5662,59.68
P000,Day,0,Practice,Unexpected,Amber,Left,43.26,41.97,0.1309,0.8682,942.7274,0.1309,59.66
P000,Day,0,Practice,Unexpected,Amber,Left,43.36,42.07,0.8301,0.8681,945.3283,0.8301,59.64
P000,Day,0,Practice,Unexpected,Amber,Left,43.47,42.18,1.6014,0.8681,948.1580,1.6014,59.62
P000,Day,0,Practice,Unexpected,Amber,Left,43.58,42.29,2.3593,0.8681,950.9750,2.3593,59.56
P000,Day,0,Practice,Unexpected,Amber,Left,43.69,42.39,3.0566,0.8681,953.7019,3.0566,59.51
P000,Day,0,Practice,Unexpected,Amber,Left,43.80,42.50,3.7527,0.8682,956.5078,3.7527,59.49
P000,Day,0,Practice,Unexpected,Amber,Left,43.90,42.60,4.3757,0.8682,959.1135,4.3757,59.44
P000,Day,0,Practice,Unexpected,Amber,Left,44.00,42.71,4.9681,0.8681,961.7850,4.9681,59.37
P000,Day,0,Practice,Unexpected,Amber,Left,44.10,42.81,5.5234,0.8681,964.4567,5.5234,59.32
P000,Day,0,Practice,Unexpected,Amber,Left,44.21,42.92,6.0700,0.8681,967.2880,6.0700,59.27
P000,Day,0,Practice,Unexpected,Amber,Left,44.32,43.03,6.5707,0.8681,970.1077,6.5707,59.20
P000,Day,0,Practice,Unexpected,Amber,Left,44.43,43.13,7.0136,0.8693,972.9259,7.0136,59.10
P000,Day,0,Practice,Unexpected,Amber,Left,44.54,43.24,7.4076,0.8699,975.7210,7.4076,59.05
P000,Day,0,Practice,Unexpected,Amber,Left,44.64,43.35,7.7684,0.8688,978.5389,7.7684,59.00
P000,Day,0,Practice,Unexpected,Amber,Left,44.75,43.45,8.0708,0.8681,981.2209,8.0708,58.93
P000,Day,0,Practice,Unexpected,Amber,Left,44.85,43.55,8.3282,0.8679,983.8505,8.3282,58.89
P000,Day,0,Practice,Unexpected,Amber,Left,44.95,43.65,8.5613,0.8679,986.5398,8.5613,58.84
P000,Day,0,Practice,Unexpected,Amber,Left,45.05,43.76,8.7535,0.8680,989.1808,8.7535,58.79
P000,Day,0,Practice,Unexpected,Amber,Left,45.16,43.87,8.9291,0.8681,992.0970,8.9291,58.73
P000,Day,0,Practice,Unexpected,Amber,Left,45.26,43.97,9.0467,0.8682,994.7512,9.0467,58.68
P000,Day,0,Practice,Unexpected,Amber,Left,45.37,44.08,9.1416,0.8682,997.5840,9.1416,58.64
P000,Day,0,Practice,Unexpected,Amber,Left,45.47,44.18,9.2021,0.8682,1000.2210,9.2021,58.60
P000,Day,0,Practice,Unexpected,Amber,Left,45.57,44.28,9.2358,0.8691,1002.8970,9.2358,58.56
P000,Day,0,Practice,Unexpected,Amber,Left,45.67,44.38,9.2304,0.8691,1005.5410,9.2304,58.49
P000,Day,0,Practice,Unexpected,Amber,Left,45.78,44.49,9.1914,0.8684,1008.3620,9.1914,58.46
P000,Day,0,Practice,Unexpected,Amber,Left,45.89,44.59,9.1258,0.8697,1011.0400,9.1258,58.40
P000,Day,0,Practice,Unexpected,Amber,Left,45.99,44.70,9.0015,0.8686,1013.8780,9.0015,58.29
P000,Day,0,Practice,Unexpected,Amber,Left,46.10,44.80,8.8346,0.8680,1016.5800,8.8346,58.24
P000,Day,0,Practice,Unexpected,Amber,Left,46.20,44.90,8.6380,0.8678,1019.2160,8.6380,58.19
P000,Day,0,Practice,Unexpected,Amber,Left,46.30,45.01,8.3994,0.8679,1021.9100,8.3994,58.13
P000,Day,0,Practice,Unexpected,Amber,Left,46.41,45.11,8.1254,0.8681,1024.5840,8.1254,58.09
P000,Day,0,Practice,Unexpected,Amber,Left,46.51,45.22,7.8188,0.8682,1027.2470,7.8188,58.05
P000,Day,0,Practice,Unexpected,Amber,Left,46.61,45.32,7.4842,0.8682,1029.8950,7.4842,58.01
P000,Day,0,Practice,Unexpected,Amber,Left,46.72,45.42,7.1232,0.8685,1032.5510,7.1232,57.98
P000,Day,0,Practice,Unexpected,Amber,Left,46.82,45.53,6.7368,0.8684,1035.2330,6.7368,57.96
P000,Day,0,Practice,Unexpected,Amber,Left,46.92,45.63,6.3371,0.8687,1037.8820,6.3371,57.94
P000,Day,0,Practice,Unexpected,Amber,Left,47.03,45.73,5.9232,0.8683,1040.5290,5.9232,57.92
P000,Day,0,Practice,Unexpected,Amber,Left,47.13,45.84,5.4966,0.8680,1043.1810,5.4966,57.90
P000,Day,0,Practice,Unexpected,Amber,Left,47.24,45.94,5.0428,0.8680,1045.9370,5.0428,57.89
P000,Day,0,Practice,Unexpected,Amber,Left,47.35,46.05,4.5882,0.8681,1048.6460,4.5882,58.01
P000,Day,0,Practice,Unexpected,Amber,Left,47.45,46.16,4.1260,0.8686,1051.3770,4.1260,58.22
P000,Day,0,Practice,Unexpected,Amber,Left,47.56,46.26,3.6822,0.8689,1054.0340,3.6822,58.28
P000,Day,0,Practice,Unexpected,Amber,Left,47.66,46.37,3.2233,0.8693,1056.7730,3.2233,58.29
P000,Day,0,Practice,Unexpected,Amber,Left,47.77,46.47,2.7794,0.8684,1059.5130,2.7794,58.24
P000,Day,0,Practice,Unexpected,Amber,Left,47.88,46.58,2.3621,0.8679,1062.2690,2.3621,58.21
P000,Day,0,Practice,Unexpected,Amber,Left,47.98,46.69,1.9756,0.8679,1065.0000,1.9756,58.16
P000,Day,0,Practice,Unexpected,Amber,Left,48.09,46.80,1.6109,0.8680,1067.8110,1.6109,58.13
