ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,SurveyQuestion,SurveyResponse,SurveyRT
123,Day,0,Practice,Expected,Red,Left,12.18,9.67,0.6939,0.8681,114.6840,0.6939,58.26,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.28,9.78,0.6329,0.8681,117.4437,0.6329,58.92,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.38,9.88,0.5718,0.8681,120.0981,0.5718,59.58,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.48,9.98,0.5103,0.8681,122.8159,0.5103,60.23,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.59,10.09,0.4453,0.8681,125.6291,0.4453,61.00,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.69,10.19,0.3800,0.8681,128.4368,0.3800,61.66,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.79,10.29,0.3198,0.8681,131.3483,0.3198,62.31,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.90,10.40,0.2637,0.8681,134.3313,0.2637,63.08,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.00,10.50,0.2132,0.8681,137.2262,0.2132,63.74,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,13.10,10.60,0.1677,0.8681,140.1496,0.1677,64.39,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
